mineral,year,scenario,demand
Cobalt,2025,Net zero 2050,130.418
Graphite,2025,Net zero 2050,1844.36
Lithium,2025,Net zero 2050,242.703
Manganese,2025,Net zero 2050,112.903
Nickel,2025,Net zero 2050,1157.04
Silicon,2025,Net zero 2050,74.5352
Neodymium,2025,Net zero 2050,12.9681
Dysprosium,2025,Net zero 2050,1.33044
Praseodymium,2025,Net zero 2050,1.94521
Terbium,2025,Net zero 2050,0.265012
Copper,2030,Net zero 2050,2703.91
Cobalt,2030,Net zero 2050,187.993
Graphite,2030,Net zero 2050,4114.97
Lithium,2030,Net zero 2050,591.556
Manganese,2030,Net zero 2050,377.932
Nickel,2030,Net zero 2050,2414.37
Silicon,2030,Net zero 2050,328.747
Neodymium,2030,Net zero 2050,26.3052
Dysprosium,2030,Net zero 2050,2.61147
Praseodymium,2030,Net zero 2050,3.94577
Terbium,2030,Net zero 2050,0.542697
Copper,2035,Net zero 2050,3799.47
Cobalt,2035,Net zero 2050,230.828
Graphite,2035,Net zero 2050,5486.07
Lithium,2035,Net zero 2050,985.437
Manganese,2035,Net zero 2050,816.385
Nickel,2035,Net zero 2050,3391.95
Silicon,2035,Net zero 2050,594.711
Neodymium,2035,Net zero 2050,35.0145
Dysprosium,2035,Net zero 2050,3.45096
Praseodymium,2035,Net zero 2050,5.25217
Terbium,2035,Net zero 2050,0.723856
Copper,2040,Net zero 2050,3883.62
Cobalt,2040,Net zero 2050,243.972
Graphite,2040,Net zero 2050,4540.4
Lithium,2040,Net zero 2050,1105.55
Manganese,2040,Net zero 2050,1126.13
Nickel,2040,Net zero 2050,3450.65
Silicon,2040,Net zero 2050,755.772
Neodymium,2040,Net zero 2050,33.9301
Dysprosium,2040,Net zero 2050,3.3506
Praseodymium,2040,Net zero 2050,5.08951
Terbium,2040,Net zero 2050,0.701055
Copper,2045,Net zero 2050,3897.36
Cobalt,2045,Net zero 2050,278.214
Graphite,2045,Net zero 2050,3786.42
Lithium,2045,Net zero 2050,1172.97
Manganese,2045,Net zero 2050,1566.12
Nickel,2045,Net zero 2050,3444.45
Silicon,2045,Net zero 2050,771.629
Neodymium,2045,Net zero 2050,36.6641
Dysprosium,2045,Net zero 2050,3.62476
Praseodymium,2045,Net zero 2050,5.49962
Terbium,2045,Net zero 2050,0.7573
Copper,2050,Net zero 2050,3582.92
Cobalt,2050,Net zero 2050,290.557
Graphite,2050,Net zero 2050,2726.08
Lithium,2050,Net zero 2050,1104.01
Manganese,2050,Net zero 2050,1926.73
Nickel,2050,Net zero 2050,3289.2
Silicon,2050,Net zero 2050,795.034
Neodymium,2050,Net zero 2050,37.4633
Dysprosium,2050,Net zero 2050,3.70726
Praseodymium,2050,Net zero 2050,5.61949
Terbium,2050,Net zero 2050,0.773601
